nK,nL,nH,n1,n2,n3,n4,coefficient
1,1,0,0,1,0,1,8*(3*D**2*z - 4*D**2 + 3*D*z**2 - 30*D*z + 40*D - 10*z**2 + 68*z - 88)/(z*(D - 2)*(z - 4)**2)
1,1,0,0,1,1,0,16*(D - 3)*(D*z**2 - 8*D*z + 8*D - 6*z**2 + 36*z - 40)/(z*(D - 2)*(z - 4)**2)
1,1,0,1,-1,1,0,8/(z*(z - 4))
1,1,0,1,-1,1,1,-4*(z - 2)*(D*z - 2*z + 4)/(z*(z - 4)**2)
1,1,0,1,0,0,0,-8/(z*(z - 4))
1,1,0,1,0,0,1,-8*(z - 2)*(D*z - 4)/(z*(z - 4)**2)
1,1,0,1,0,1,-1,2*(D**3 - 14*D**2 + 68*D - 104)/(z*(D - 2)*(z - 4))
1,1,0,1,0,1,0,8*(3*D**2*z - 4*D**2 + 3*D*z**2 - 30*D*z + 40*D - 10*z**2 + 68*z - 88)/(z*(D - 2)*(z - 4)**2)
1,1,0,1,0,1,1,-8*(z - 2)/(z - 4)
1,1,0,1,1,-1,1,-4*(z - 2)*(D*z - 2*z + 4)/(z*(z - 4)**2)
1,1,0,1,1,0,0,4*(D**2*z**2 - 2*D**2*z + 8*D**2 - 6*D*z**2 + 28*D*z - 80*D + 8*z**2 - 64*z + 176)/(z*(D - 2)*(z - 4)**2)
1,1,0,1,1,0,1,-8*(z - 2)/(z - 4)
1,1,0,1,1,1,-1,-64*(D - 3)*(D + z - 5)/(z*(D - 2)*(z - 4)**2)
