D,z,target_index,basis_index,coeff
16,-4,0,0,631/312
16,-4,0,1,12691/5200
16,-4,0,2,-41/13
16,-4,0,3,67/6552
16,-4,0,5,319/105
16,-4,0,6,-28513/54600
16,-4,0,7,13/14
16,-4,0,8,-16039/700
16,-4,0,9,-244/35
16,-4,0,10,-66/7
16,-4,0,11,-2144/91
16,-4,1,0,203/416
16,-4,1,1,4417/6240
16,-4,1,2,539/624
16,-4,1,3,5/1638
16,-4,1,4,26/21
16,-4,1,5,17/14
16,-4,1,6,139/1820
16,-4,1,8,-187/35
16,-4,1,9,6/7
16,-4,1,10,-60/7
16,-4,1,11,-640/91
16,-4,2,2,1
16,-4,2,4,-4
16,-4,3,0,-7/26
16,-4,3,1,-7/26
16,-4,3,2,28/13
16,-4,4,0,-7/96
16,-4,4,1,-7/96
16,-4,4,2,5/16
16,-4,4,4,13/12
16,-4,5,0,-1/52
16,-4,5,2,15/13
16,-4,5,5,-27/28
16,-4,5,6,2/91
16,-4,6,0,-7/26
16,-4,6,2,28/13
16,-4,6,5,1/2
16,-4,6,6,4/13
16,-4,7,0,-49/312
16,-4,7,2,49/78
16,-4,7,4,13/12
16,-4,7,5,-5/6
16,-4,7,6,1/156
16,-4,8,0,-15/26
16,-4,8,7,-27/14
16,-4,9,1,-7/40
16,-4,9,6,-1/140
16,-4,9,8,-351/140
16,-4,10,0,-7/96
16,-4,10,1,-7/96
16,-4,10,2,-193/624
16,-4,10,6,6/91
16,-4,10,8,-13/7
16,-4,11,0,1855/1014
16,-4,11,1,294/325
16,-4,11,2,84/13
16,-4,11,3,1/234
16,-4,11,5,769/195
16,-4,11,6,1108/975
16,-4,11,7,40/13
16,-4,11,8,-239/50
16,-4,11,9,34/5
16,-4,11,10,-696/13
16,-4,11,11,-128/13
16,-4,12,7,1
16,-4,12,9,-26/5
16,-4,13,0,-49/312
16,-4,13,1,-1421/5200
16,-4,13,2,7/13
16,-4,13,3,-1/936
16,-4,13,5,-13/60
16,-4,13,6,769/7800
16,-4,13,8,63/25
16,-4,13,9,1
16,-4,13,10,-2
16,-4,13,11,32/13
16,-4,14,0,-1225/16224
16,-4,14,1,-1421/10400
16,-4,14,2,-35/208
16,-4,14,3,-1/1872
16,-4,14,4,-7/24
16,-4,14,5,-6/65
16,-4,14,6,3/325
16,-4,14,8,19/25
16,-4,14,10,12/13
16,-4,14,11,16/13
16,-4,15,0,77/1248
16,-4,15,1,-259/1248
16,-4,15,2,-47/208
16,-4,15,4,13/12
16,-4,16,2,1
16,-4,17,4,1
16,-4,18,0,-7/13
16,-4,19,1,-7/13
16,-4,20,0,-7/96
16,-4,20,1,-7/96
16,-4,20,2,-13/48
16,-4,21,2,-7/13
16,-4,22,2,-7/48
16,-4,22,4,-13/48
16,-4,23,0,-1/26
16,-4,23,2,-2
16,-4,23,5,-27/14
16,-4,23,6,-4/7
16,-4,24,0,-7/13
16,-4,25,5,1
16,-4,27,2,-7/13
16,-4,27,6,-1/13
16,-4,28,0,49/1248
16,-4,28,2,-7/24
16,-4,28,4,-13/48
16,-4,28,5,5/24
16,-4,28,6,-1/48
16,-4,29,1,-7/40
16,-4,29,5,13/14
16,-4,29,6,-41/140
16,-4,29,7,-13/14
16,-4,29,8,1209/140
16,-4,30,0,1351/8112
16,-4,30,1,7/48
16,-4,30,2,13/24
16,-4,30,5,10/7
16,-4,30,6,-1/7
16,-4,30,7,-60/91
16,-4,30,8,44/7
16,-4,31,7,1
16,-4,33,0,49/169
16,-4,33,7,10/13
16,-4,34,1,-49/260
16,-4,34,5,1
16,-4,34,6,3/10
16,-4,34,8,13/10
16,-4,35,8,1
16,-4,37,0,49/1248
16,-4,37,1,49/2400
16,-4,37,2,7/48
16,-4,37,5,1/10
16,-4,37,6,-1/100
16,-4,37,8,19/25
16,-4,38,0,-1225/2028
16,-4,38,1,-1421/2600
16,-4,38,3,-1/468
16,-4,38,5,-13/30
16,-4,38,6,13/300
16,-4,38,7,-10/13
16,-4,38,8,101/25
16,-4,38,9,1
16,-4,38,10,148/13
16,-4,38,11,64/13
16,-4,39,9,1
16,-3,0,0,1213/624
16,-3,0,1,323/150
16,-3,0,2,-163/52
16,-3,0,3,127/13104
16,-3,0,5,10963/2940
16,-3,0,6,-162557/382200
16,-3,0,7,13/14
16,-3,0,8,-3186/175
16,-3,0,9,-1903/280
16,-3,0,10,-243/91
16,-3,0,11,-381/26
16,-3,1,0,191/312
16,-3,1,1,182/225
16,-3,1,2,901/1092
16,-3,1,3,73/19656
16,-3,1,4,26/21
16,-3,1,5,454/245
16,-3,1,6,3349/31850
16,-3,1,8,-1737/350
16,-3,1,9,6/7
16,-3,1,10,-738/91
16,-3,1,11,-73/13
16,-3,2,2,1
16,-3,2,4,-7/2
16,-3,3,0,-7/26
16,-3,3,1,-7/26
16,-3,3,2,49/26
16,-3,4,0,-1/12
16,-3,4,1,-1/12
16,-3,4,2,23/84
16,-3,4,4,13/12
16,-3,5,0,-1/52
16,-3,5,2,59/52
16,-3,5,5,-27/28
16,-3,5,6,1/52
16,-3,6,0,-7/26
16,-3,6,2,49/26
16,-3,6,5,1/2
16,-3,6,6,7/26
16,-3,7,0,-49/234
16,-3,7,2,49/78
16,-3,7,4,13/12
16,-3,7,5,-10/9
16,-3,7,6,-5/234
16,-3,8,0,-15/26
16,-3,8,7,-27/14
16,-3,9,1,-7/40
16,-3,9,6,1/56
16,-3,9,8,-351/140
16,-3,10,0,-1/12
16,-3,10,1,-1/12
16,-3,10,2,-95/273
16,-3,10,6,6/91
16,-3,10,8,-13/7
16,-3,11,0,8057/4056
16,-3,11,1,427/390
16,-3,11,2,63/13
16,-3,11,3,5/936
16,-3,11,5,1256/273
16,-3,11,6,5149/5460
16,-3,11,7,40/13
16,-3,11,8,-27/5
16,-3,11,9,89/20
16,-3,11,10,-540/13
16,-3,11,11,-105/13
16,-3,12,7,1
16,-3,12,9,-91/20
16,-3,13,0,-49/312
16,-3,13,1,-77/300
16,-3,13,2,7/13
16,-3,13,3,-1/936
16,-3,13,5,-32/105
16,-3,13,6,629/6825
16,-3,13,8,107/50
16,-3,13,9,1
16,-3,13,10,-32/13
16,-3,13,11,21/13
16,-3,14,0,-203/2028
16,-3,14,1,-77/450
16,-3,14,2,-5/26
16,-3,14,3,-1/1404
16,-3,14,4,-1/3
16,-3,14,5,-244/1365
16,-3,14,6,61/6825
16,-3,14,8,19/25
16,-3,14,10,12/13
16,-3,14,11,14/13
16,-3,15,0,5/52
16,-3,15,1,-41/156
16,-3,15,2,-289/1092
16,-3,15,4,13/12
16,-3,16,2,1
16,-3,17,4,1
16,-3,18,0,-7/13
16,-3,19,1,-7/13
16,-3,20,0,-1/12
16,-3,20,1,-1/12
16,-3,20,2,-13/42
16,-3,21,2,-7/13
16,-3,22,2,-1/6
16,-3,22,4,-13/42
16,-3,23,0,-1/26
