D,z,target_index,basis_index,coeff
8,-4,0,0,103/40
8,-4,0,1,33/10
8,-4,0,2,-17/5
8,-4,0,3,9/40
8,-4,0,5,41/12
8,-4,0,6,-22/15
8,-4,0,7,5/6
8,-4,0,8,-527/24
8,-4,0,9,-13/2
8,-4,0,10,-6
8,-4,0,11,-288/5
8,-4,1,0,93/160
8,-4,1,1,451/480
8,-4,1,2,91/80
8,-4,1,3,1/15
8,-4,1,4,5/3
8,-4,1,5,29/27
8,-4,1,6,71/540
8,-4,1,8,-139/27
8,-4,1,9,2/3
8,-4,1,10,-20/3
8,-4,1,11,-256/15
8,-4,2,2,1
8,-4,2,4,-4
8,-4,3,0,-3/10
8,-4,3,1,-3/10
8,-4,3,2,12/5
8,-4,4,0,-3/32
8,-4,4,1,-3/32
8,-4,4,2,7/16
8,-4,4,4,5/4
8,-4,5,0,-1/20
8,-4,5,2,7/5
8,-4,5,5,-11/12
8,-4,5,6,2/15
8,-4,6,0,-3/10
8,-4,6,2,12/5
8,-4,6,5,1/2
8,-4,6,6,4/5
8,-4,7,0,-9/40
8,-4,7,2,9/10
8,-4,7,4,5/4
8,-4,7,5,-1
8,-4,7,6,1/20
8,-4,8,0,-7/10
8,-4,8,7,-11/6
8,-4,9,1,-3/16
8,-4,9,6,-1/24
8,-4,9,8,-55/24
8,-4,10,0,-3/32
8,-4,10,1,-3/32
8,-4,10,2,-33/80
8,-4,10,6,2/15
8,-4,10,8,-5/3
8,-4,11,0,123/50
8,-4,11,1,53/40
8,-4,11,2,36/5
8,-4,11,3,1/10
8,-4,11,5,194/45
8,-4,11,6,517/180
8,-4,11,7,16/5
8,-4,11,8,-179/36
8,-4,11,9,7
8,-4,11,10,-248/5
8,-4,11,11,-128/5
8,-4,12,7,1
8,-4,12,9,-5
8,-4,13,0,-9/40
8,-4,13,1,-31/80
8,-4,13,2,3/5
8,-4,13,3,-1/40
8,-4,13,5,-5/18
8,-4,13,6,97/360
8,-4,13,8,23/9
8,-4,13,9,1
8,-4,13,10,-2
8,-4,13,11,32/5
8,-4,14,0,-81/800
8,-4,14,1,-31/160
8,-4,14,2,-21/80
8,-4,14,3,-1/80
8,-4,14,4,-3/8
8,-4,14,5,-4/45
8,-4,14,6,1/45
8,-4,14,8,7/9
8,-4,14,10,4/5
8,-4,14,11,16/5
8,-4,15,0,9/160
8,-4,15,1,-39/160
8,-4,15,2,-13/80
8,-4,15,4,5/4
8,-4,16,2,1
8,-4,17,4,1
8,-4,18,0,-3/5
8,-4,19,1,-3/5
8,-4,20,0,-3/32
8,-4,20,1,-3/32
8,-4,20,2,-5/16
8,-4,21,2,-3/5
8,-4,22,2,-3/16
8,-4,22,4,-5/16
8,-4,23,0,-1/10
8,-4,23,2,-2
8,-4,23,5,-11/6
8,-4,23,6,-4/3
8,-4,24,0,-3/5
8,-4,25,5,1
8,-4,27,2,-3/5
8,-4,27,6,-1/5
8,-4,28,0,9/160
8,-4,28,2,-3/8
8,-4,28,4,-5/16
8,-4,28,5,1/4
8,-4,28,6,-1/16
8,-4,29,1,-3/16
8,-4,29,5,5/6
8,-4,29,6,-17/24
8,-4,29,7,-5/6
8,-4,29,8,185/24
8,-4,30,0,99/400
8,-4,30,1,3/16
8,-4,30,2,5/8
8,-4,30,5,4/3
8,-4,30,6,-1/3
8,-4,30,7,-8/15
8,-4,30,8,16/3
8,-4,31,7,1
8,-4,33,0,9/25
8,-4,33,7,4/5
8,-4,34,1,-9/40
8,-4,34,5,1
8,-4,34,6,3/4
8,-4,34,8,5/4
8,-4,35,8,1
8,-4,37,0,9/160
8,-4,37,1,1/32
8,-4,37,2,3/16
8,-4,37,5,1/9
8,-4,37,6,-1/36
8,-4,37,8,7/9
8,-4,38,0,-81/100
8,-4,38,1,-31/40
8,-4,38,3,-1/20
8,-4,38,5,-5/9
8,-4,38,6,5/36
8,-4,38,7,-4/5
8,-4,38,8,37/9
8,-4,38,9,1
8,-4,38,10,52/5
8,-4,38,11,64/5
8,-4,39,9,1
8,-3,0,0,197/80
8,-3,0,1,1629/560
8,-3,0,2,-67/20
8,-3,0,3,17/80
8,-3,0,5,349/84
8,-3,0,6,-1961/1680
8,-3,0,7,5/6
8,-3,0,8,-139/8
8,-3,0,9,-101/16
8,-3,0,10,-3/5
8,-3,0,11,-357/10
8,-3,1,0,201/280
8,-3,1,1,16/15
8,-3,1,2,153/140
8,-3,1,3,29/360
8,-3,1,4,5/3
8,-3,1,5,316/189
8,-3,1,6,361/1890
8,-3,1,8,-257/54
8,-3,1,9,2/3
8,-3,1,10,-94/15
8,-3,1,11,-203/15
8,-3,2,2,1
8,-3,2,4,-7/2
8,-3,3,0,-3/10
8,-3,3,1,-3/10
8,-3,3,2,21/10
8,-3,4,0,-3/28
8,-3,4,1,-3/28
8,-3,4,2,11/28
8,-3,4,4,5/4
8,-3,5,0,-1/20
8,-3,5,2,27/20
8,-3,5,5,-11/12
8,-3,5,6,7/60
8,-3,6,0,-3/10
8,-3,6,2,21/10
8,-3,6,5,1/2
8,-3,6,6,7/10
8,-3,7,0,-3/10
8,-3,7,2,9/10
8,-3,7,4,5/4
8,-3,7,5,-4/3
8,-3,7,6,-1/30
8,-3,8,0,-7/10
8,-3,8,7,-11/6
8,-3,9,1,-3/16
8,-3,9,6,1/48
8,-3,9,8,-55/24
8,-3,10,0,-3/28
8,-3,10,1,-3/28
8,-3,10,2,-16/35
8,-3,10,6,2/15
8,-3,10,8,-5/3
8,-3,11,0,537/200
8,-3,11,1,447/280
8,-3,11,2,27/5
8,-3,11,3,1/8
8,-3,11,5,536/105
8,-3,11,6,401/168
8,-3,11,7,16/5
8,-3,11,8,-67/12
8,-3,11,9,37/8
8,-3,11,10,-192/5
8,-3,11,11,-21
8,-3,12,7,1
8,-3,12,9,-35/8
8,-3,13,0,-9/40
8,-3,13,1,-51/140
8,-3,13,2,3/5
8,-3,13,3,-1/40
8,-3,13,5,-8/21
8,-3,13,6,26/105
8,-3,13,8,13/6
8,-3,13,9,1
8,-3,13,10,-12/5
8,-3,13,11,21/5
