D,z,target_index,basis_index,coeff
12,-4,0,0,311/144
12,-4,0,1,90935/34272
12,-4,0,2,-29/9
12,-4,0,3,47/1440
12,-4,0,5,4253/1360
12,-4,0,6,-65953/85680
12,-4,0,7,9/10
12,-4,0,8,-26917/1190
12,-4,0,9,-239/35
12,-4,0,10,-42/5
12,-4,0,11,-1504/45
12,-4,1,0,295/576
12,-4,1,1,7495/9792
12,-4,1,2,89/96
12,-4,1,3,7/720
12,-4,1,4,27/20
12,-4,1,5,399/340
12,-4,1,6,101/1020
12,-4,1,8,-449/85
12,-4,1,9,4/5
12,-4,1,10,-8
12,-4,1,11,-448/45
12,-4,2,2,1
12,-4,2,4,-4
12,-4,3,0,-5/18
12,-4,3,1,-5/18
12,-4,3,2,20/9
12,-4,4,0,-5/64
12,-4,4,1,-5/64
12,-4,4,2,11/32
12,-4,4,4,9/8
12,-4,5,0,-1/36
12,-4,5,2,11/9
12,-4,5,5,-19/20
12,-4,5,6,2/45
12,-4,6,0,-5/18
12,-4,6,2,20/9
12,-4,6,5,1/2
12,-4,6,6,4/9
12,-4,7,0,-25/144
12,-4,7,2,25/36
12,-4,7,4,9/8
12,-4,7,5,-7/8
12,-4,7,6,1/72
12,-4,8,0,-11/18
12,-4,8,7,-19/10
12,-4,9,1,-5/28
12,-4,9,6,-1/70
12,-4,9,8,-171/70
12,-4,10,0,-5/64
12,-4,10,1,-5/64
12,-4,10,2,-97/288
12,-4,10,6,4/45
12,-4,10,8,-9/5
12,-4,11,0,215/108
12,-4,11,1,2875/2856
12,-4,11,2,20/3
12,-4,11,3,1/72
12,-4,11,5,2471/612
12,-4,11,6,2327/1428
12,-4,11,7,28/9
12,-4,11,8,-575/119
12,-4,11,9,48/7
12,-4,11,10,-472/9
12,-4,11,11,-128/9
12,-4,12,7,1
12,-4,12,9,-36/7
12,-4,13,0,-25/144
12,-4,13,1,-1475/4896
12,-4,13,2,5/9
12,-4,13,3,-1/288
12,-4,13,5,-63/272
12,-4,13,6,353/2448
12,-4,13,8,43/17
12,-4,13,9,1
12,-4,13,10,-2
12,-4,13,11,32/9
12,-4,14,0,-425/5184
12,-4,14,1,-1475/9792
12,-4,14,2,-55/288
12,-4,14,3,-1/576
12,-4,14,4,-5/16
12,-4,14,5,-14/153
12,-4,14,6,2/153
12,-4,14,8,13/17
12,-4,14,10,8/9
12,-4,14,11,16/9
12,-4,15,0,35/576
12,-4,15,1,-125/576
12,-4,15,2,-61/288
12,-4,15,4,9/8
12,-4,16,2,1
12,-4,17,4,1
12,-4,18,0,-5/9
12,-4,19,1,-5/9
12,-4,20,0,-5/64
12,-4,20,1,-5/64
12,-4,20,2,-9/32
12,-4,21,2,-5/9
12,-4,22,2,-5/32
12,-4,22,4,-9/32
12,-4,23,0,-1/18
12,-4,23,2,-2
12,-4,23,5,-19/10
12,-4,23,6,-4/5
12,-4,24,0,-5/9
12,-4,25,5,1
12,-4,27,2,-5/9
12,-4,27,6,-1/9
12,-4,28,0,25/576
12,-4,28,2,-5/16
12,-4,28,4,-9/32
12,-4,28,5,7/32
12,-4,28,6,-1/32
12,-4,29,1,-5/28
12,-4,29,5,9/10
12,-4,29,6,-29/70
12,-4,29,7,-9/10
12,-4,29,8,117/14
12,-4,30,0,485/2592
12,-4,30,1,5/32
12,-4,30,2,9/16
12,-4,30,5,7/5
12,-4,30,6,-1/5
12,-4,30,7,-28/45
12,-4,30,8,6
12,-4,31,7,1
12,-4,33,0,25/81
12,-4,33,7,7/9
12,-4,34,1,-25/126
12,-4,34,5,1
12,-4,34,6,3/7
12,-4,34,8,9/7
12,-4,35,8,1
12,-4,37,0,25/576
12,-4,37,1,25/1088
12,-4,37,2,5/32
12,-4,37,5,7/68
12,-4,37,6,-1/68
12,-4,37,8,13/17
12,-4,38,0,-425/648
12,-4,38,1,-1475/2448
12,-4,38,3,-1/144
12,-4,38,5,-63/136
12,-4,38,6,9/136
12,-4,38,7,-7/9
12,-4,38,8,69/17
12,-4,38,9,1
12,-4,38,10,100/9
12,-4,38,11,64/9
12,-4,39,9,1
12,-3,0,0,199/96
12,-3,0,1,40105/17136
12,-3,0,2,-115/36
12,-3,0,3,89/2880
12,-3,0,5,651/170
12,-3,0,6,-5339/8568
12,-3,0,7,9/10
12,-3,0,8,-8545/476
12,-3,0,9,-133/20
12,-3,0,10,-92/45
12,-3,0,11,-623/30
12,-3,1,0,215/336
12,-3,1,1,55/63
12,-3,1,2,149/168
12,-3,1,3,17/1440
12,-3,1,4,27/20
12,-3,1,5,9/5
12,-3,1,6,29/210
12,-3,1,8,-49/10
12,-3,1,9,4/5
12,-3,1,10,-68/9
12,-3,1,11,-119/15
12,-3,2,2,1
12,-3,2,4,-7/2
12,-3,3,0,-5/18
12,-3,3,1,-5/18
12,-3,3,2,35/18
12,-3,4,0,-5/56
12,-3,4,1,-5/56
12,-3,4,2,17/56
12,-3,4,4,9/8
12,-3,5,0,-1/36
12,-3,5,2,43/36
12,-3,5,5,-19/20
12,-3,5,6,7/180
12,-3,6,0,-5/18
12,-3,6,2,35/18
12,-3,6,5,1/2
12,-3,6,6,7/18
12,-3,7,0,-25/108
12,-3,7,2,25/36
12,-3,7,4,9/8
12,-3,7,5,-7/6
12,-3,7,6,-1/36
12,-3,8,0,-11/18
12,-3,8,7,-19/10
12,-3,9,1,-5/28
12,-3,9,6,3/140
12,-3,9,8,-171/70
12,-3,10,0,-5/56
12,-3,10,1,-5/56
12,-3,10,2,-95/252
12,-3,10,6,4/45
12,-3,10,8,-9/5
12,-3,11,0,935/432
12,-3,11,1,3475/2856
12,-3,11,2,5
12,-3,11,3,5/288
12,-3,11,5,1447/306
12,-3,11,6,5795/4284
12,-3,11,7,28/9
12,-3,11,8,-1297/238
12,-3,11,9,9/2
12,-3,11,10,-122/3
12,-3,11,11,-35/3
12,-3,12,7,1
12,-3,12,9,-9/2
12,-3,13,0,-25/144
12,-3,13,1,-2425/8568
12,-3,13,2,5/9
12,-3,13,3,-1/288
12,-3,13,5,-11/34
12,-3,13,6,575/4284
12,-3,13,8,73/34
12,-3,13,9,1
12,-3,13,10,-22/9
12,-3,13,11,7/3
12,-3,14,0,-1475/13608
12,-3,14,1,-2425/12852
12,-3,14,2,-55/252
12,-3,14,3,-1/432
12,-3,14,4,-5/14
12,-3,14,5,-82/459
12,-3,14,6,41/3213
12,-3,14,8,13/17
12,-3,14,10,8/9
12,-3,14,11,14/9
12,-3,15,0,145/1512
12,-3,15,1,-415/1512
12,-3,15,2,-127/504
12,-3,15,4,9/8
12,-3,16,2,1
12,-3,17,4,1
