D,z,target_index,basis_index,coeff
14,-4,0,0,457/220
14,-4,0,1,66117/26180
14,-4,0,2,-35/11
14,-4,0,3,19/1100
14,-4,0,5,1721/560
14,-4,0,6,-32581/52360
14,-4,0,7,11/12
14,-4,0,8,-2712/119
14,-4,0,9,-235/34
14,-4,0,10,-9
14,-4,0,11,-304/11
14,-4,1,0,219/440
14,-4,1,1,2251/3080
14,-4,1,2,391/440
14,-4,1,3,17/3300
14,-4,1,4,77/60
14,-4,1,5,1207/1008
14,-4,1,6,479/5544
14,-4,1,8,-335/63
14,-4,1,9,5/6
14,-4,1,10,-25/3
14,-4,1,11,-272/33
14,-4,2,2,1
14,-4,2,4,-4
14,-4,3,0,-3/11
14,-4,3,1,-3/11
14,-4,3,2,24/11
14,-4,4,0,-3/40
14,-4,4,1,-3/40
14,-4,4,2,13/40
14,-4,4,4,11/10
14,-4,5,0,-1/44
14,-4,5,2,13/11
14,-4,5,5,-23/24
14,-4,5,6,1/33
14,-4,6,0,-3/11
14,-4,6,2,24/11
14,-4,6,5,1/2
14,-4,6,6,4/11
14,-4,7,0,-9/55
14,-4,7,2,36/55
14,-4,7,4,11/10
14,-4,7,5,-17/20
14,-4,7,6,1/110
14,-4,8,0,-13/22
14,-4,8,7,-23/12
14,-4,9,1,-3/17
14,-4,9,6,-1/102
14,-4,9,8,-253/102
14,-4,10,0,-3/40
14,-4,10,1,-3/40
14,-4,10,2,-141/440
14,-4,10,6,5/66
14,-4,10,8,-11/6
14,-4,11,0,1146/605
14,-4,11,1,6186/6545
14,-4,11,2,72/11
14,-4,11,3,2/275
14,-4,11,5,9197/2310
14,-4,11,6,26293/19635
14,-4,11,7,34/11
14,-4,11,8,-1714/357
14,-4,11,9,116/17
14,-4,11,10,-584/11
14,-4,11,11,-128/11
14,-4,12,7,1
14,-4,12,9,-88/17
14,-4,13,0,-9/55
14,-4,13,1,-219/770
14,-4,13,2,6/11
14,-4,13,3,-1/550
14,-4,13,5,-187/840
14,-4,13,6,541/4620
14,-4,13,8,53/21
14,-4,13,9,1
14,-4,13,10,-2
14,-4,13,11,32/11
14,-4,14,0,-189/2420
14,-4,14,1,-219/1540
14,-4,14,2,-39/220
14,-4,14,3,-1/1100
14,-4,14,4,-3/10
14,-4,14,5,-85/924
14,-4,14,6,5/462
14,-4,14,8,16/21
14,-4,14,10,10/11
14,-4,14,11,16/11
14,-4,15,0,27/440
14,-4,15,1,-93/440
14,-4,15,2,-97/440
14,-4,15,4,11/10
14,-4,16,2,1
14,-4,17,4,1
14,-4,18,0,-6/11
14,-4,19,1,-6/11
14,-4,20,0,-3/40
14,-4,20,1,-3/40
14,-4,20,2,-11/40
14,-4,21,2,-6/11
14,-4,22,2,-3/20
14,-4,22,4,-11/40
14,-4,23,0,-1/22
14,-4,23,2,-2
14,-4,23,5,-23/12
14,-4,23,6,-2/3
14,-4,24,0,-6/11
14,-4,25,5,1
14,-4,27,2,-6/11
14,-4,27,6,-1/11
14,-4,28,0,9/220
14,-4,28,2,-3/10
14,-4,28,4,-11/40
14,-4,28,5,17/80
14,-4,28,6,-1/40
14,-4,29,1,-3/17
14,-4,29,5,11/12
14,-4,29,6,-35/102
14,-4,29,7,-11/12
14,-4,29,8,869/102
14,-4,30,0,423/2420
14,-4,30,1,3/20
14,-4,30,2,11/20
14,-4,30,5,17/12
14,-4,30,6,-1/6
14,-4,30,7,-85/132
14,-4,30,8,37/6
14,-4,31,7,1
14,-4,33,0,36/121
14,-4,33,7,17/22
14,-4,34,1,-36/187
14,-4,34,5,1
14,-4,34,6,6/17
14,-4,34,8,22/17
14,-4,35,8,1
14,-4,37,0,9/220
14,-4,37,1,3/140
14,-4,37,2,3/20
14,-4,37,5,17/168
14,-4,37,6,-1/84
14,-4,37,8,16/21
14,-4,38,0,-378/605
14,-4,38,1,-219/385
14,-4,38,3,-1/275
14,-4,38,5,-187/420
14,-4,38,6,11/210
14,-4,38,7,-17/22
14,-4,38,8,85/21
14,-4,38,9,1
14,-4,38,10,124/11
14,-4,38,11,64/11
14,-4,39,9,1
14,-3,0,0,439/220
14,-3,0,1,20415/9163
14,-3,0,2,-139/44
14,-3,0,3,9/550
14,-3,0,5,22159/5880
14,-3,0,6,-185293/366520
14,-3,0,7,11/12
14,-3,0,8,-12923/714
14,-3,0,9,-229/34
14,-3,0,10,-53/22
14,-3,0,11,-189/11
14,-3,1,0,48/77
14,-3,1,1,2249/2695
14,-3,1,2,327/385
14,-3,1,3,31/4950
14,-3,1,4,77/60
14,-3,1,5,1615/882
14,-3,1,6,580/4851
14,-3,1,8,-311/63
14,-3,1,9,5/6
14,-3,1,10,-260/33
14,-3,1,11,-217/33
14,-3,2,2,1
14,-3,2,4,-7/2
14,-3,3,0,-3/11
14,-3,3,1,-3/11
14,-3,3,2,21/11
14,-3,4,0,-3/35
14,-3,4,1,-3/35
14,-3,4,2,2/7
14,-3,4,4,11/10
14,-3,5,0,-1/44
14,-3,5,2,51/44
14,-3,5,5,-23/24
14,-3,5,6,7/264
14,-3,6,0,-3/11
14,-3,6,2,21/11
14,-3,6,5,1/2
14,-3,6,6,7/22
14,-3,7,0,-12/55
14,-3,7,2,36/55
14,-3,7,4,11/10
14,-3,7,5,-17/15
14,-3,7,6,-4/165
14,-3,8,0,-13/22
14,-3,8,7,-23/12
14,-3,9,1,-3/17
14,-3,9,6,1/51
14,-3,9,8,-253/102
14,-3,10,0,-3/35
14,-3,10,1,-3/35
14,-3,10,2,-277/770
14,-3,10,6,5/66
14,-3,10,8,-11/6
14,-3,11,0,249/121
14,-3,11,1,10476/9163
14,-3,11,2,54/11
14,-3,11,3,1/110
14,-3,11,5,5015/1078
14,-3,11,6,20367/18326
14,-3,11,7,34/11
14,-3,11,8,-645/119
14,-3,11,9,76/17
14,-3,11,10,-453/11
14,-3,11,11,-105/11
14,-3,12,7,1
14,-3,12,9,-77/17
14,-3,13,0,-9/55
14,-3,13,1,-144/539
14,-3,13,2,6/11
14,-3,13,3,-1/550
14,-3,13,5,-153/490
14,-3,13,6,589/5390
14,-3,13,8,15/7
14,-3,13,9,1
14,-3,13,10,-27/11
14,-3,13,11,21/11
14,-3,14,0,-438/4235
14,-3,14,1,-96/539
14,-3,14,2,-78/385
14,-3,14,3,-1/825
14,-3,14,4,-12/35
14,-3,14,5,-289/1617
14,-3,14,6,17/1617
14,-3,14,8,16/21
14,-3,14,10,10/11
14,-3,14,11,14/11
14,-3,15,0,37/385
14,-3,15,1,-103/385
14,-3,15,2,-20/77
14,-3,15,4,11/10
14,-3,16,2,1
14,-3,17,4,1
14,-3,18,0,-6/11
14,-3,19,1,-6/11
14,-3,20,0,-3/35
14,-3,20,1,-3/35
14,-3,20,2,-11/35
14,-3,21,2,-6/11
14,-3,22,2,-6/35
14,-3,22,4,-11/35
14,-3,23,0,-1/22
14,-3,23,2,-3/2
14,-3,23,5,-23/12
14,-3,23,6,-7/12
14,-3,24,0,-6/11
14,-3,25,5,1
14,-3,27,2,-6/11
14,-3,27,6,-1/11
14,-3,28,0,24/385
14,-3,28,2,-12/35
14,-3,28,4,-11/35
14,-3,28,5,34/105
14,-3,28,6,-2/105
14,-3,29,1,-3/17
14,-3,29,5,11/12
14,-3,29,6,-47/204
14,-3,29,7,-11/12
14,-3,29,8,341/51
14,-3,30,0,1299/8470
14,-3,30,1,9/70
14,-3,30,2,33/70
14,-3,30,5,17/12
14,-3,30,6,-1/12
14,-3,30,7,-85/132
14,-3,30,8,29/6
14,-3,31,7,1
14,-3,33,0,36/121
14,-3,33,7,17/22
14,-3,34,1,-36/187
14,-3,34,5,1
14,-3,34,6,5/17
14,-3,34,8,22/17
14,-3,35,8,1
14,-3,37,0,18/385
14,-3,37,1,6/245
14,-3,37,2,6/35
14,-3,37,5,17/147
14,-3,37,6,-1/147
14,-3,37,8,16/21
14,-3,38,0,-378/605
14,-3,38,1,-288/539
14,-3,38,3,-1/275
14,-3,38,5,-153/245
14,-3,38,6,9/245
14,-3,38,7,-17/22
14,-3,38,8,23/7
14,-3,38,9,1
14,-3,38,10,93/11
14,-3,38,11,42/11
14,-3,39,9,1
14,-2,0,0,421/220
14,-2,0,1,12428/6545
14,-2,0,2,-69/22
14,-2,0,3,17/1100
14,-2,0,5,11663/2520
14,-2,0,6,-689/2244
14,-2,0,7,11/12
14,-2,0,8,-1641/119
14,-2,0,9,-223/34
14,-2,0,10,41/11
14,-2,0,11,-102/11
14,-2,1,0,97/110
14,-2,1,1,343/330
14,-2,1,2,263/330
14,-2,1,3,7/825
14,-2,1,4,77/60
14,-2,1,5,85/27
14,-2,1,6,5/22
14,-2,1,8,-41/9
14,-2,1,9,5/6
14,-2,1,10,-245/33
14,-2,1,11,-56/11
14,-2,2,2,1
14,-2,2,4,-3
14,-2,3,0,-3/11
14,-2,3,1,-3/11
14,-2,3,2,18/11
14,-2,4,0,-1/10
14,-2,4,1,-1/10
14,-2,4,2,7/30
14,-2,4,4,11/10
14,-2,5,0,-1/44
14,-2,5,2,25/22
14,-2,5,5,-23/24
14,-2,5,6,1/44
14,-2,6,0,-3/11
14,-2,6,2,18/11
14,-2,6,5,1/2
14,-2,6,6,3/11
14,-2,7,0,-18/55
14,-2,7,2,36/55
14,-2,7,4,11/10
14,-2,7,5,-17/10
14,-2,7,6,-1/11
14,-2,8,0,-13/22
14,-2,8,7,-23/12
14,-2,9,1,-3/17
14,-2,9,6,5/102
14,-2,9,8,-253/102
14,-2,10,0,-1/10
14,-2,10,1,-1/10
14,-2,10,2,-68/165
14,-2,10,6,5/66
14,-2,10,8,-11/6
14,-2,11,0,1344/605
14,-2,11,1,8328/6545
14,-2,11,2,36/11
14,-2,11,3,3/275
14,-2,11,5,6562/1155
14,-2,11,6,180/187
14,-2,11,7,34/11
14,-2,11,8,-628/119
14,-2,11,9,36/17
14,-2,11,10,-312/11
14,-2,11,11,-72/11
14,-2,12,7,1
14,-2,12,9,-66/17
14,-2,13,0,-9/55
14,-2,13,1,-94/385
14,-2,13,2,6/11
14,-2,13,3,-1/550
14,-2,13,5,-136/315
14,-2,13,6,1/11
14,-2,13,8,37/21
14,-2,13,9,1
14,-2,13,10,-32/11
14,-2,13,11,12/11
14,-2,14,0,-93/605
14,-2,14,1,-94/385
14,-2,14,2,-13/55
14,-2,14,3,-1/550
14,-2,14,4,-2/5
14,-2,14,5,-527/1386
14,-2,14,8,16/21
14,-2,14,10,10/11
14,-2,14,11,12/11
14,-2,15,0,19/110
14,-2,15,1,-41/110
14,-2,15,2,-103/330
14,-2,15,4,11/10
14,-2,16,2,1
14,-2,17,4,1
14,-2,18,0,-6/11
14,-2,19,1,-6/11
14,-2,20,0,-1/10
14,-2,20,1,-1/10
14,-2,20,2,-11/30
14,-2,21,2,-6/11
14,-2,22,2,-1/5
14,-2,22,4,-11/30
14,-2,23,0,-1/22
14,-2,23,2,-1
14,-2,23,5,-23/12
14,-2,23,6,-1/2
14,-2,24,0,-6/11
14,-2,25,5,1
14,-2,27,2,-6/11
14,-2,27,6,-1/11
14,-2,28,0,6/55
14,-2,28,2,-2/5
14,-2,28,4,-11/30
14,-2,28,5,17/30
14,-2,29,1,-3/17
14,-2,29,5,11/12
14,-2,29,6,-2/17
14,-2,29,7,-11/12
14,-2,29,8,165/34
14,-2,30,0,151/1210
14,-2,30,1,1/10
14,-2,30,2,11/30
14,-2,30,5,17/12
14,-2,30,7,-85/132
14,-2,30,8,7/2
14,-2,31,7,1
14,-2,33,0,36/121
14,-2,33,7,17/22
14,-2,34,1,-36/187
14,-2,34,5,1
14,-2,34,6,4/17
14,-2,34,8,22/17
