D,z,target_index,basis_index,coeff
9,-4,0,0,289/120
9,-4,0,1,19061/6270
9,-4,0,2,-10/3
9,-4,0,3,64/525
9,-4,0,5,2539/770
9,-4,0,6,-26234/21945
9,-4,0,7,6/7
9,-4,0,8,-32464/1463
9,-4,0,9,-880/133
9,-4,0,10,-48/7
9,-4,0,11,-1024/21
9,-4,1,0,133/240
9,-4,1,1,287/330
9,-4,1,2,21/20
9,-4,1,3,19/525
9,-4,1,4,54/35
9,-4,1,5,171/154
9,-4,1,6,19/154
9,-4,1,8,-400/77
9,-4,1,9,5/7
9,-4,1,10,-50/7
9,-4,1,11,-304/21
9,-4,2,2,1
9,-4,2,4,-4
9,-4,3,0,-7/24
9,-4,3,1,-7/24
9,-4,3,2,7/3
9,-4,4,0,-7/80
9,-4,4,1,-7/80
9,-4,4,2,2/5
9,-4,4,4,6/5
9,-4,5,0,-1/24
9,-4,5,2,4/3
9,-4,5,5,-13/14
9,-4,5,6,2/21
9,-4,6,0,-7/24
9,-4,6,2,7/3
9,-4,6,5,1/2
9,-4,6,6,2/3
9,-4,7,0,-49/240
9,-4,7,2,49/60
9,-4,7,4,6/5
9,-4,7,5,-19/20
9,-4,7,6,1/30
9,-4,8,0,-2/3
9,-4,8,7,-13/7
9,-4,9,1,-7/38
9,-4,9,6,-4/133
9,-4,9,8,-312/133
9,-4,10,0,-7/80
9,-4,10,1,-7/80
9,-4,10,2,-23/60
9,-4,10,6,5/42
9,-4,10,8,-12/7
9,-4,11,0,91/40
9,-4,11,1,2499/2090
9,-4,11,2,7
9,-4,11,3,4/75
9,-4,11,5,1387/330
9,-4,11,6,2522/1045
9,-4,11,7,19/6
9,-4,11,8,-1028/209
9,-4,11,9,132/19
9,-4,11,10,-152/3
9,-4,11,11,-64/3
9,-4,12,7,1
9,-4,12,9,-96/19
9,-4,13,0,-49/240
9,-4,13,1,-931/2640
9,-4,13,2,7/12
9,-4,13,3,-1/75
9,-4,13,5,-57/220
9,-4,13,6,73/330
9,-4,13,8,28/11
9,-4,13,9,1
9,-4,13,10,-2
9,-4,13,11,16/3
9,-4,14,0,-539/5760
9,-4,14,1,-931/5280
9,-4,14,2,-7/30
9,-4,14,3,-1/150
9,-4,14,4,-7/20
9,-4,14,5,-95/1056
9,-4,14,6,5/264
9,-4,14,8,17/22
9,-4,14,10,5/6
9,-4,14,11,8/3
9,-4,15,0,7/120
9,-4,15,1,-7/30
9,-4,15,2,-11/60
9,-4,15,4,6/5
9,-4,16,2,1
9,-4,17,4,1
9,-4,18,0,-7/12
9,-4,19,1,-7/12
9,-4,20,0,-7/80
9,-4,20,1,-7/80
9,-4,20,2,-3/10
9,-4,21,2,-7/12
9,-4,22,2,-7/40
9,-4,22,4,-3/10
9,-4,23,0,-1/12
9,-4,23,2,-2
9,-4,23,5,-13/7
9,-4,23,6,-8/7
9,-4,24,0,-7/12
