nK,nL,nH,n1,n2,n3,n4,coefficient
1,0,0,1,0,1,0,-2*(D - 4)*(D**2*z - 8*D**2 - 22*D*z + 100*D + 56*z - 232)/(z*(D - 2)*(z - 4)**2)
1,0,0,1,0,1,1,4*(D**2*z**2 + 2*D**2*z - 8*D**2 + 9*D*z**2 - 68*D*z + 64*D - 38*z**2 + 212*z - 192)/(z*(D - 2)*(z - 4)**2)
1,0,0,1,1,-1,1,-2*(D - 4)*(D*z - 2*z + 4)/(z*(z - 4)**2)
1,0,0,1,1,0,0,2*(D - 4)*(D*z - 2*z + 4)/(z*(z - 4)**2)
1,0,0,1,1,0,1,-4*(4*D**2*z**2 - 14*D**2*z + 8*D**2 - 29*D*z**2 + 116*D*z - 64*D + 50*z**2 - 212*z + 96)/(z*(D - 2)*(z - 4)**2)
1,0,0,1,1,1,0,16*(D - 3)*(D*z**2 - 4*D*z + 8*D - 4*z**2 + 24*z - 40)/(z*(D - 2)*(z - 4)**2)
1,0,0,1,1,1,1,32*(D - 3)*(z - 3)/((D - 2)*(z - 4))
1,1,-3,1,1,1,1,4*(2*D**3 + 5*D**2*z - 34*D**2 - 32*D*z + 164*D + 60*z - 264)/(z*(D - 2)*(z - 4)**2)
1,1,-2,0,1,1,1,-4*(D**3*z - 4*D**3 - 17*D**2*z + 68*D**2 + 80*D*z - 328*D - 124*z + 504)/(z*(D - 2)*(z - 4)**2)
1,1,-2,1,0,1,1,-4*(2*D**3 + 8*D**2*z - 38*D**2 - 45*D*z + 196*D + 82*z - 340)/(z*(D - 2)*(z - 4)**2)
1,1,-2,1,1,0,1,-4*(2*D**3 + 8*D**2*z - 38*D**2 - 45*D*z + 196*D + 82*z - 340)/(z*(D - 2)*(z - 4)**2)
1,1,-2,1,1,1,0,-4*(D**3*z - 4*D**3 - 17*D**2*z + 68*D**2 + 80*D*z - 328*D - 124*z + 504)/(z*(D - 2)*(z - 4)**2)
1,1,-2,1,1,1,1,-4*(5*D**2*z**2 - 20*D**2*z + 16*D**2 - 32*D*z**2 + 152*D*z - 128*D + 68*z**2 - 352*z + 336)/(z*(D - 2)*(z - 4)**2)
1,1,-1,-1,1,1,1,-4*(D - 4)*(D**2*z - 2*D**2 - 8*D*z + 26*D + 16*z - 60)/(z*(D - 2)*(z - 4)**2)
1,1,-1,0,0,1,1,4*(D**3*z - 2*D**3 - 15*D**2*z + 38*D**2 + 61*D*z - 196*D - 86*z + 316)/(z*(D - 2)*(z - 4)**2)
1,1,-1,0,1,0,1,2*(D**3*z - 8*D**3 - 24*D**2*z + 140*D**2 + 142*D*z - 696*D - 260*z + 1128)/(z*(D - 2)*(z - 4)**2)
1,1,-1,0,1,1,0,8*(D - 4)*(2*D**2 + 5*D*z - 26*D - 14*z + 60)/(z*(D - 2)*(z - 4)**2)
1,1,-1,0,1,1,1,-8*(D**2*z - 4*D**2 - 8*D*z + 32*D + 20*z - 72)/(z*(D - 2)*(z - 4))
1,1,-1,1,-1,1,1,4*(4*D**2*z - 4*D**2 - 17*D*z + 36*D + 26*z - 84)/(z*(D - 2)*(z - 4)**2)
1,1,-1,1,0,0,1,4*(2*D**3 + 9*D**2*z - 42*D**2 - 50*D*z + 220*D + 96*z - 400)/(z*(D - 2)*(z - 4)**2)
1,1,-1,1,0,1,0,2*(D**3*z - 8*D**3 - 24*D**2*z + 140*D**2 + 142*D*z - 696*D - 260*z + 1128)/(z*(D - 2)*(z - 4)**2)
1,1,-1,1,0,1,1,4*(3*D**2*z**2 - 10*D**2*z + 8*D**2 - 11*D*z**2 + 52*D*z - 64*D + 26*z**2 - 148*z + 192)/(z*(D - 2)*(z - 4)**2)
1,1,-1,1,1,-1,1,4*(4*D**2*z - 4*D**2 - 17*D*z + 36*D + 26*z - 84)/(z*(D - 2)*(z - 4)**2)
1,1,-1,1,1,0,0,4*(D**3*z - 2*D**3 - 15*D**2*z + 38*D**2 + 61*D*z - 196*D - 86*z + 316)/(z*(D - 2)*(z - 4)**2)
