D,z,target_index,basis_index,coeff
15,-4,0,0,1081/528
15,-4,0,1,139243/56166
15,-4,0,2,-19/6
15,-4,0,3,62/4719
15,-4,0,5,20089/6578
15,-4,0,6,-207313/365079
15,-4,0,7,12/13
15,-4,0,8,-252856/11063
15,-4,0,9,-3340/481
15,-4,0,10,-120/13
15,-4,0,11,-992/39
15,-4,1,0,65/132
15,-4,1,1,793/1104
15,-4,1,2,7/8
15,-4,1,3,37/9438
15,-4,1,4,180/143
15,-4,1,5,111/92
15,-4,1,6,97/1196
15,-4,1,8,-1594/299
15,-4,1,9,11/13
15,-4,1,10,-110/13
15,-4,1,11,-296/39
15,-4,2,2,1
15,-4,2,4,-4
15,-4,3,0,-13/48
15,-4,3,1,-13/48
15,-4,3,2,13/6
15,-4,4,0,-13/176
15,-4,4,1,-13/176
15,-4,4,2,7/22
15,-4,4,4,12/11
15,-4,5,0,-1/48
15,-4,5,2,7/6
15,-4,5,5,-25/26
15,-4,5,6,1/39
15,-4,6,0,-13/48
15,-4,6,2,13/6
15,-4,6,5,1/2
15,-4,6,6,1/3
15,-4,7,0,-169/1056
15,-4,7,2,169/264
15,-4,7,4,12/11
15,-4,7,5,-37/44
15,-4,7,6,1/132
15,-4,8,0,-7/12
15,-4,8,7,-25/13
15,-4,9,1,-13/74
15,-4,9,6,-4/481
15,-4,9,8,-1200/481
15,-4,10,0,-13/176
15,-4,10,1,-13/176
15,-4,10,2,-83/264
15,-4,10,6,11/156
15,-4,10,8,-24/13
15,-4,11,0,1963/1056
15,-4,11,1,69121/74888
15,-4,11,2,13/2
15,-4,11,3,2/363
15,-4,11,5,12025/3036
15,-4,11,6,11509/9361
15,-4,11,7,37/12
15,-4,11,8,-4076/851
15,-4,11,9,252/37
15,-4,11,10,-160/3
15,-4,11,11,-32/3
15,-4,12,7,1
15,-4,12,9,-192/37
15,-4,13,0,-169/1056
15,-4,13,1,-845/3036
15,-4,13,2,13/24
15,-4,13,3,-1/726
15,-4,13,5,-111/506
15,-4,13,6,325/3036
15,-4,13,8,58/23
15,-4,13,9,1
15,-4,13,10,-2
15,-4,13,11,8/3
15,-4,14,0,-3887/50688
15,-4,14,1,-845/6072
15,-4,14,2,-91/528
15,-4,14,3,-1/1452
15,-4,14,4,-13/44
15,-4,14,5,-407/4416
15,-4,14,6,11/1104
15,-4,14,8,35/46
15,-4,14,10,11/12
15,-4,14,11,4/3
15,-4,15,0,65/1056
15,-4,15,1,-221/1056
15,-4,15,2,-59/264
15,-4,15,4,12/11
15,-4,16,2,1
15,-4,17,4,1
15,-4,18,0,-13/24
15,-4,19,1,-13/24
15,-4,20,0,-13/176
15,-4,20,1,-13/176
15,-4,20,2,-3/11
15,-4,21,2,-13/24
15,-4,22,2,-13/88
15,-4,22,4,-3/11
15,-4,23,0,-1/24
15,-4,23,2,-2
15,-4,23,5,-25/13
15,-4,23,6,-8/13
15,-4,24,0,-13/24
15,-4,25,5,1
15,-4,27,2,-13/24
15,-4,27,6,-1/12
15,-4,28,0,169/4224
15,-4,28,2,-13/44
15,-4,28,4,-3/11
15,-4,28,5,37/176
15,-4,28,6,-1/44
15,-4,29,1,-13/74
15,-4,29,5,12/13
15,-4,29,6,-152/481
15,-4,29,7,-12/13
15,-4,29,8,4128/481
15,-4,30,0,1079/6336
15,-4,30,1,13/88
15,-4,30,2,6/11
15,-4,30,5,37/26
15,-4,30,6,-2/13
15,-4,30,7,-407/624
15,-4,30,8,81/13
15,-4,31,7,1
15,-4,33,0,169/576
15,-4,33,7,37/48
15,-4,34,1,-169/888
15,-4,34,5,1
15,-4,34,6,12/37
15,-4,34,8,48/37
15,-4,35,8,1
15,-4,37,0,169/4224
15,-4,37,1,169/8096
15,-4,37,2,13/88
15,-4,37,5,37/368
15,-4,37,6,-1/92
15,-4,37,8,35/46
15,-4,38,0,-3887/6336
15,-4,38,1,-845/1518
15,-4,38,3,-1/363
15,-4,38,5,-111/253
15,-4,38,6,12/253
15,-4,38,7,-37/48
15,-4,38,8,93/23
15,-4,38,9,1
15,-4,38,10,34/3
15,-4,38,11,16/3
15,-4,39,9,1
15,-3,0,0,1385/704
15,-3,0,1,27517997/12581184
15,-3,0,2,-151/48
15,-3,0,3,235/18876
15,-3,0,5,53085/14168
15,-3,0,6,-9444775/20444424
15,-3,0,7,12/13
