D,z,target_index,basis_index,coeff
10,-4,0,0,193/84
10,-4,0,1,5741/2002
10,-4,0,2,-23/7
10,-4,0,3,37/504
10,-4,0,5,4019/1248
10,-4,0,6,-48491/48048
10,-4,0,7,7/8
10,-4,0,8,-6397/286
10,-4,0,9,-295/44
10,-4,0,10,-15/2
10,-4,0,11,-296/7
10,-4,1,0,15/28
10,-4,1,1,899/1092
10,-4,1,2,167/168
10,-4,1,3,11/504
10,-4,1,4,35/24
10,-4,1,5,473/416
10,-4,1,6,167/1456
10,-4,1,8,-68/13
10,-4,1,9,3/4
10,-4,1,10,-15/2
10,-4,1,11,-88/7
10,-4,2,2,1
10,-4,2,4,-4
10,-4,3,0,-2/7
10,-4,3,1,-2/7
10,-4,3,2,16/7
10,-4,4,0,-1/12
10,-4,4,1,-1/12
10,-4,4,2,3/8
10,-4,4,4,7/6
10,-4,5,0,-1/28
10,-4,5,2,9/7
10,-4,5,5,-15/16
10,-4,5,6,1/14
10,-4,6,0,-2/7
10,-4,6,2,16/7
10,-4,6,5,1/2
10,-4,6,6,4/7
10,-4,7,0,-4/21
10,-4,7,2,16/21
10,-4,7,4,7/6
10,-4,7,5,-11/12
10,-4,7,6,1/42
10,-4,8,0,-9/14
10,-4,8,7,-15/8
10,-4,9,1,-2/11
10,-4,9,6,-1/44
10,-4,9,8,-105/44
10,-4,10,0,-1/12
10,-4,10,1,-1/12
10,-4,10,2,-61/168
10,-4,10,6,3/28
10,-4,10,8,-7/4
10,-4,11,0,316/147
10,-4,11,1,1112/1001
10,-4,11,2,48/7
10,-4,11,3,2/63
10,-4,11,5,2255/546
10,-4,11,6,6247/3003
10,-4,11,7,22/7
10,-4,11,8,-698/143
10,-4,11,9,76/11
10,-4,11,10,-360/7
10,-4,11,11,-128/7
10,-4,12,7,1
10,-4,12,9,-56/11
10,-4,13,0,-4/21
10,-4,13,1,-30/91
10,-4,13,2,4/7
10,-4,13,3,-1/126
10,-4,13,5,-77/312
10,-4,13,6,205/1092
10,-4,13,8,33/13
10,-4,13,9,1
10,-4,13,10,-2
10,-4,13,11,32/7
