target_index,target,basis_index,basis,coefficient,nonzero,grid_validation_points,independent_probe_points,validation
3,"(-1, 0, 1, 1, 0, 1, 1)",0,"(0, 0, 0, 0, 0, 1, 1)",-(D - 2)/(4*(D - 3)),1,91,3,exact
3,"(-1, 0, 1, 1, 0, 1, 1)",1,"(0, 0, 0, 0, 1, 0, 1)",-(D - 2)/(4*(D - 3)),1,91,3,exact
3,"(-1, 0, 1, 1, 0, 1, 1)",2,"(0, 0, 0, 0, 1, 1, 1)",-(D - 2)*(z - 4)/(4*(D - 3)),1,91,3,exact
4,"(-1, 0, 1, 1, 1, 1, 1)",0,"(0, 0, 0, 0, 0, 1, 1)",(D - 2)/(2*(D - 4)*(z - 4)),1,91,3,exact
4,"(-1, 0, 1, 1, 1, 1, 1)",1,"(0, 0, 0, 0, 1, 0, 1)",(D - 2)/(2*(D - 4)*(z - 4)),1,91,3,exact
4,"(-1, 0, 1, 1, 1, 1, 1)",2,"(0, 0, 0, 0, 1, 1, 1)",(D*z - 2*z - 4)/(2*(D - 4)*(z - 4)),1,91,3,exact
4,"(-1, 0, 1, 1, 1, 1, 1)",4,"(0, 0, 0, 1, 1, 1, 1)",(D - 3)/(D - 4),1,91,3,exact
5,"(-1, 1, 0, 0, 1, 1, 1)",0,"(0, 0, 0, 0, 0, 1, 1)",-1/(4*(D - 3)),1,91,3,exact
5,"(-1, 1, 0, 0, 1, 1, 1)",2,"(0, 0, 0, 0, 1, 1, 1)",-(-4*D + z + 8)/(4*(D - 3)),1,91,3,exact
5,"(-1, 1, 0, 0, 1, 1, 1)",5,"(0, 1, 0, 0, 1, 0, 1)",-(2*D - 5)/(2*(D - 2)),1,91,3,exact
5,"(-1, 1, 0, 0, 1, 1, 1)",6,"(0, 1, 0, 0, 1, 0, 2)",-(z - 4)/(2*(D - 3)*(D - 2)),1,91,3,exact
6,"(-1, 1, 0, 1, 0, 1, 1)",0,"(0, 0, 0, 0, 0, 1, 1)",-(D - 2)/(4*(D - 3)),1,91,3,exact
6,"(-1, 1, 0, 1, 0, 1, 1)",2,"(0, 0, 0, 0, 1, 1, 1)",-(D - 2)*(z - 4)/(4*(D - 3)),1,91,3,exact
6,"(-1, 1, 0, 1, 0, 1, 1)",5,"(0, 1, 0, 0, 1, 0, 1)",1/2,1,91,3,exact
6,"(-1, 1, 0, 1, 0, 1, 1)",6,"(0, 1, 0, 0, 1, 0, 2)",-(z - 4)/(2*(D - 3)),1,91,3,exact
7,"(-1, 1, 0, 1, 1, 1, 1)",0,"(0, 0, 0, 0, 0, 1, 1)",(D - 2)**2/(2*z*(D - 4)*(D - 3)),1,91,3,exact
7,"(-1, 1, 0, 1, 1, 1, 1)",2,"(0, 0, 0, 0, 1, 1, 1)",(D - 2)**2/(2*(D - 4)*(D - 3)),1,91,3,exact
7,"(-1, 1, 0, 1, 1, 1, 1)",4,"(0, 0, 0, 1, 1, 1, 1)",(D - 3)/(D - 4),1,91,3,exact
7,"(-1, 1, 0, 1, 1, 1, 1)",5,"(0, 1, 0, 0, 1, 0, 1)",(3*D - 8)/(z*(D - 4)),1,91,3,exact
7,"(-1, 1, 0, 1, 1, 1, 1)",6,"(0, 1, 0, 0, 1, 0, 2)",(D*z + 4*D - 2*z - 12)/(z*(D - 4)*(D - 3)),1,91,3,exact
8,"(-1, 1, 1, 0, 0, 1, 1)",0,"(0, 0, 0, 0, 0, 1, 1)",-(D - 1)/(2*(D - 3)),1,91,3,exact
8,"(-1, 1, 1, 0, 0, 1, 1)",7,"(0, 1, 1, 0, 0, 0, 1)",-(2*D - 5)/(D - 2),1,91,3,exact
9,"(-1, 1, 1, 0, 1, 0, 1)",1,"(0, 0, 0, 0, 1, 0, 1)",-(D - 2)/(2*(3*D - 8)),1,91,3,exact
9,"(-1, 1, 1, 0, 1, 0, 1)",6,"(0, 1, 0, 0, 1, 0, 2)",(D*z + 4*D - 2*z - 12)/((D - 2)*(3*D - 8)),1,91,3,exact
9,"(-1, 1, 1, 0, 1, 0, 1)",8,"(0, 1, 1, 0, 1, 0, 1)",-4*(D - 3)*(2*D - 5)/((D - 2)*(3*D - 8)),1,91,3,exact
10,"(-1, 1, 1, 0, 1, 1, 1)",0,"(0, 0, 0, 0, 0, 1, 1)",(D - 2)/(2*(D - 4)*(z - 4)),1,91,3,exact
10,"(-1, 1, 1, 0, 1, 1, 1)",1,"(0, 0, 0, 0, 1, 0, 1)",(D - 2)/(2*(D - 4)*(z - 4)),1,91,3,exact
10,"(-1, 1, 1, 0, 1, 1, 1)",2,"(0, 0, 0, 0, 1, 1, 1)",-(-4*D**2 + D*z + 20*D - 4*z - 20)/(2*(D - 4)*(D - 3)*(z - 4)),1,91,3,exact
10,"(-1, 1, 1, 0, 1, 1, 1)",6,"(0, 1, 0, 0, 1, 0, 2)",(D - 4)/((D - 3)*(D - 2)),1,91,3,exact
10,"(-1, 1, 1, 0, 1, 1, 1)",8,"(0, 1, 1, 0, 1, 0, 1)",-2*(D - 3)/(D - 2),1,91,3,exact
11,"(-1, 1, 1, 1, -1, 1, 1)",0,"(0, 0, 0, 0, 0, 1, 1)",(D - 2)*(D**2*z + 16*D**2 - 5*D*z - 84*D + 6*z + 96)/(8*(D - 4)*(D - 3)**2),1,91,3,exact
11,"(-1, 1, 1, 1, -1, 1, 1)",1,"(0, 0, 0, 0, 1, 0, 1)",(D - 2)**2*(15*D**2*z**2 + 88*D**2*z - 160*D**2 - 94*D*z**2 - 544*D*z + 944*D + 144*z**2 + 816*z - 1344)/(8*(D - 4)*(D - 3)*(2*D - 7)*(3*D - 8)*(z - 4)),1,91,3,exact
11,"(-1, 1, 1, 1, -1, 1, 1)",2,"(0, 0, 0, 0, 1, 1, 1)",-3*z*(D - 2)/(2*(D - 3)),1,91,3,exact
11,"(-1, 1, 1, 1, -1, 1, 1)",3,"(0, 0, 0, 0, 2, 0, 3)",2*(z + 8)/((D - 4)**2*(D - 3)),1,91,3,exact
