target,tested,pivoting,max_new_pivots
"(1, 1, 0, 0, 0, 1, 0)",21,,8
"(0, 1, 0, 1, 0, 1, 0)",21,,8
"(0, 0, 0, 1, 0, 1, 1)",21,,8
"(1, 1, 0, 0, 1, 1, 0)",12,,8
"(1, 1, 0, 0, 1, 0, 1)",21,,8
"(0, 1, 0, 1, 0, 1, 1)",21,,8
"(0, 0, 0, 1, 1, 1, 1)",12,,8
"(1, 1, -1, 0, 1, 1, 0)",12,,8
"(0, 0, -1, 1, 1, 1, 1)",12,,8
"(1, 1, -1, 0, 1, 1, 1)",21,,8
"(1, 1, 0, -1, 1, 1, 1)",21,,8
"(1, 1, -1, 1, 1, 1, 1)",12,,8
