D,z,target_index,basis_index,coeff
18,-4,0,0,119/60
18,-4,0,1,23813/10005
18,-4,0,2,-47/15
18,-4,0,3,11/1680
18,-4,0,5,5593/1856
18,-4,0,6,-144041/320160
18,-4,0,7,15/16
18,-4,0,8,-61379/2668
18,-4,0,9,-1291/184
18,-4,0,10,-39/4
18,-4,0,11,-308/15
18,-4,1,0,101/210
18,-4,1,1,4211/6090
18,-4,1,2,237/280
18,-4,1,3,23/11760
18,-4,1,4,135/112
18,-4,1,5,2277/1856
18,-4,1,6,317/4640
18,-4,1,8,-311/58
18,-4,1,9,7/8
18,-4,1,10,-35/4
18,-4,1,11,-92/15
18,-4,2,2,1
18,-4,2,4,-4
18,-4,3,0,-4/15
18,-4,3,1,-4/15
18,-4,3,2,32/15
18,-4,4,0,-1/14
18,-4,4,1,-1/14
18,-4,4,2,17/56
18,-4,4,4,15/14
18,-4,5,0,-1/60
18,-4,5,2,17/15
18,-4,5,5,-31/32
18,-4,5,6,1/60
18,-4,6,0,-4/15
18,-4,6,2,32/15
18,-4,6,5,1/2
18,-4,6,6,4/15
18,-4,7,0,-16/105
18,-4,7,2,64/105
18,-4,7,4,15/14
18,-4,7,5,-23/28
18,-4,7,6,1/210
18,-4,8,0,-17/30
18,-4,8,7,-31/16
18,-4,9,1,-4/23
18,-4,9,6,-1/184
18,-4,9,8,-465/184
18,-4,10,0,-1/14
18,-4,10,1,-1/14
18,-4,10,2,-253/840
18,-4,10,6,7/120
18,-4,10,8,-15/8
18,-4,11,0,312/175
18,-4,11,1,20448/23345
18,-4,11,2,32/5
18,-4,11,3,2/735
18,-4,11,5,23851/6090
18,-4,11,6,23041/23345
18,-4,11,7,46/15
18,-4,11,8,-3178/667
18,-4,11,9,156/23
18,-4,11,10,-808/15
18,-4,11,11,-128/15
18,-4,12,7,1
18,-4,12,9,-120/23
18,-4,13,0,-16/105
18,-4,13,1,-808/3045
18,-4,13,2,8/15
18,-4,13,3,-1/1470
18,-4,13,5,-345/1624
18,-4,13,6,1037/12180
18,-4,13,8,73/29
18,-4,13,9,1
18,-4,13,10,-2
18,-4,13,11,32/15
18,-4,14,0,-116/1575
