nK,nL,nH,n1,n2,n3,n4,coefficient
1,1,0,0,0,1,0,-2*(D - 4)*(D**2 - 12*D + 28)/(z*(D - 2)*(z - 4))
1,1,0,0,0,1,1,-2*(D**3*z**2 + 4*D**3*z - 8*D**2*z**2 - 20*D**2*z - 16*D**2 + 28*D*z**2 - 40*D*z + 192*D - 32*z**2 + 160*z - 416)/(z*(D - 2)*(z - 4)**2)
1,1,0,0,1,-1,1,-4*(D - 4)/(z*(z - 4))
1,1,0,0,1,0,0,-2*(D - 4)*(D**2 - 12*D + 28)/(z*(D - 2)*(z - 4))
1,1,0,0,1,0,1,-2*(D**3*z**2 + 4*D**3*z - 2*D**2*z**2 - 52*D**2*z + 16*D**2 - 20*D*z**2 + 248*D*z - 192*D + 56*z**2 - 400*z + 416)/(z*(D - 2)*(z - 4)**2)
1,1,0,0,1,1,0,8*(2*D**3*z + 3*D**2*z**2 - 30*D**2*z + 16*D**2 - 22*D*z**2 + 152*D*z - 128*D + 40*z**2 - 240*z + 240)/(z*(D - 2)*(z - 4)**2)
1,1,0,0,1,1,1,-16*(z - 2)/(z - 4)
1,1,0,1,-1,1,0,-4*(D - 4)/(z*(z - 4))
1,1,0,1,-1,1,1,2*(D**2*z**2 - 4*D*z**2 + 4*z**2 - 8*z + 16)/(z*(z - 4)**2)
1,1,0,1,0,0,0,4*(D - 4)/(z*(z - 4))
1,1,0,1,0,0,1,4*(D**2*z**2 - 2*D*z**2 - 8*D*z - 4*z**2 + 32*z - 16)/(z*(z - 4)**2)
1,1,0,1,0,1,-1,2*(D - 4)*(D**2 - 12*D + 28)/(z*(D - 2)*(z - 4))
1,1,0,1,0,1,0,-2*(D**3*z**2 + 4*D**3*z - 2*D**2*z**2 - 52*D**2*z + 16*D**2 - 20*D*z**2 + 248*D*z - 192*D + 56*z**2 - 400*z + 416)/(z*(D - 2)*(z - 4)**2)
1,1,0,1,0,1,1,4*(D*z - 6*z + 12)/(z - 4)
1,1,0,1,1,-1,1,2*(D**2*z**2 - 4*D*z**2 + 4*z**2 - 8*z + 16)/(z*(z - 4)**2)
1,1,0,1,1,0,0,-2*(D**3*z**2 + 4*D**3*z - 8*D**2*z**2 - 20*D**2*z - 16*D**2 + 28*D*z**2 - 40*D*z + 192*D - 32*z**2 + 160*z - 416)/(z*(D - 2)*(z - 4)**2)
1,1,0,1,1,0,1,4*(D*z - 6*z + 12)/(z - 4)
1,1,0,1,1,1,-1,8*(D**3*z - 5*D**2*z - 8*D**2 + 64*D + 20*z - 120)/(z*(D - 2)*(z - 4)**2)
1,1,0,1,1,1,0,-16*(z - 2)/(z - 4)
1,1,0,1,1,1,1,-16*(z - 2)
