probe,target_index,basis_index,coefficient
2,23,6,-275/133
2,24,0,-19/16
2,25,5,1
2,27,2,-19/16
2,27,6,-11/8
2,28,0,17689/1800
2,28,2,266/75
2,28,4,112/75
2,28,5,686/45
2,28,6,5236/225
2,29,1,-19/70
2,29,5,8/19
2,29,6,4246/4655
2,29,7,-8/19
2,29,8,16/665
2,30,0,6441/6400
2,30,1,19/100
2,30,2,8/25
2,30,5,35/38
2,30,6,187/133
2,30,7,105/608
2,30,8,-81/266
2,31,7,1
2,33,0,361/256
2,33,7,35/32
2,34,1,-361/560
2,34,5,1
2,34,6,242/245
2,34,8,32/35
2,35,8,1
2,37,0,-2527/2400
2,37,1,-2527/1500
2,37,2,-133/75
2,37,5,49/50
2,37,6,187/125
2,37,8,13/10
2,38,0,1805/768
2,38,1,42959/12000
2,38,3,-1331/18
2,38,5,917/150
2,38,6,24497/2625
2,38,7,-35/32
2,38,8,31/70
2,38,9,1
2,38,10,-3/28
2,38,11,-825/196
2,39,9,1
3,0,0,-3889/720
3,0,1,-42007/6624
3,0,2,-71/15
3,0,3,178688/1755
3,0,5,-22209/2704
3,0,6,-845489/58305
3,0,7,5/13
3,0,8,-234437/43056
3,0,9,-6337/1794
3,0,10,2101/780
3,0,11,-1396/135
3,1,0,259/24
3,1,1,-641/48
3,1,2,-561/65
3,1,3,136192/585
3,1,4,-145/39
3,1,5,17917/1352
3,1,6,36142/2535
3,1,8,-1243/312
3,1,9,-3/13
3,1,10,157/130
3,1,11,-1064/45
3,2,2,1
3,2,4,-13/6
3,3,0,-13/20
3,3,1,-13/20
3,3,2,169/60
3,4,0,1/2
3,4,1,1/2
3,4,2,-109/78
3,4,4,-5/3
3,5,0,-2/5
3,5,2,41/15
3,5,5,-9/13
3,5,6,32/15
3,6,0,-13/20
3,6,2,169/60
3,6,5,1/2
3,6,6,52/15
3,7,0,169/10
3,7,2,-169/30
3,7,4,-5/3
3,7,5,23
3,7,6,376/15
3,8,0,-21/10
3,8,7,-18/13
3,9,1,-13/46
3,9,6,376/897
3,9,8,-360/299
3,10,0,1/2
3,10,1,1/2
3,10,2,-2/65
3,10,6,-24/65
3,10,8,-10/13
3,11,0,-3523/1800
3,11,1,-184093/16560
3,11,2,13/10
3,11,3,23552/135
3,11,5,-5543/520
3,11,6,-38582/4485
3,11,7,23/5
3,11,8,-8335/1656
3,11,9,-61/69
3,11,10,-1/30
3,11,11,-2392/135
3,12,7,1
3,12,9,-130/69
3,13,0,169/120
3,13,1,65/48
3,13,2,13/10
3,13,3,-1024/45
3,13,5,207/104
3,13,6,254/65
3,13,8,31/24
3,13,9,1
3,13,10,-9/10
3,13,11,104/45
3,14,0,-403/100
3,14,1,65/8
3,14,2,21/5
