D,z,target_index,basis_index,coeff
13,-3,10,6,9/110
13,-3,10,8,-20/11
13,-3,11,0,7579/3600
13,-3,11,1,498641/424080
13,-3,11,2,99/20
13,-3,11,3,1/81
13,-3,11,5,16027/3420
13,-3,11,6,12937/10602
13,-3,11,7,31/10
13,-3,11,8,-12801/2356
13,-3,11,9,139/31
13,-3,11,10,-819/20
13,-3,11,11,-21/2
13,-3,12,7,1
13,-3,12,9,-140/31
13,-3,13,0,-121/720
13,-3,13,1,-3751/13680
13,-3,13,2,11/20
13,-3,13,3,-1/405
13,-3,13,5,-217/684
13,-3,13,6,103/855
13,-3,13,8,163/76
13,-3,13,9,1
13,-3,13,10,-49/20
13,-3,13,11,21/10
13,-3,14,0,-1331/12600
13,-3,14,1,-3751/20520
13,-3,14,2,-22/105
13,-3,14,3,-2/1215
13,-3,14,4,-22/63
13,-3,14,5,-713/3990
13,-3,14,6,23/1995
13,-3,14,8,29/38
13,-3,14,10,9/10
13,-3,14,11,7/5
13,-3,15,0,121/1260
13,-3,15,1,-341/1260
13,-3,15,2,-323/1260
13,-3,15,4,10/9
13,-3,16,2,1
13,-3,17,4,1
13,-3,18,0,-11/20
13,-3,19,1,-11/20
13,-3,20,0,-11/126
13,-3,20,1,-11/126
13,-3,20,2,-20/63
13,-3,21,2,-11/20
13,-3,22,2,-11/63
13,-3,22,4,-20/63
13,-3,23,0,-1/20
13,-3,23,2,-3/2
13,-3,23,5,-21/11
13,-3,23,6,-7/11
13,-3,24,0,-11/20
13,-3,25,5,1
13,-3,27,2,-11/20
13,-3,27,6,-1/10
13,-3,28,0,121/1890
13,-3,28,2,-22/63
13,-3,28,4,-20/63
13,-3,28,5,62/189
13,-3,28,6,-4/189
13,-3,29,1,-11/62
13,-3,29,5,10/11
13,-3,29,6,-86/341
13,-3,29,7,-10/11
13,-3,29,8,2260/341
13,-3,30,0,1331/8400
13,-3,30,1,11/84
13,-3,30,2,10/21
13,-3,30,5,31/22
13,-3,30,6,-1/11
13,-3,30,7,-279/440
13,-3,30,8,105/22
13,-3,31,7,1
13,-3,33,0,121/400
13,-3,33,7,31/40
13,-3,34,1,-121/620
13,-3,34,5,1
13,-3,34,6,10/31
13,-3,34,8,40/31
13,-3,35,8,1
13,-3,37,0,121/2520
13,-3,37,1,121/4788
13,-3,37,2,11/63
13,-3,37,5,31/266
13,-3,37,6,-1/133
13,-3,37,8,29/38
13,-3,38,0,-2299/3600
13,-3,38,1,-3751/6840
13,-3,38,3,-2/405
13,-3,38,5,-217/342
13,-3,38,6,7/171
13,-3,38,7,-31/40
13,-3,38,8,125/38
13,-3,38,9,1
13,-3,38,10,42/5
13,-3,38,11,21/5
13,-3,39,9,1
13,-2,0,0,467/240
13,-2,0,1,164659/84816
13,-2,0,2,-63/20
13,-2,0,3,31/1485
13,-2,0,5,35051/7524
13,-2,0,6,-1153/3410
13,-2,0,7,10/11
13,-2,0,8,-177961/12958
13,-2,0,9,-2223/341
13,-2,0,10,417/110
13,-2,0,11,-558/55
13,-2,1,0,385/432
13,-2,1,1,8701/8208
13,-2,1,2,439/540
13,-2,1,3,17/1485
13,-2,1,4,130/99
13,-2,1,5,713/228
13,-2,1,6,27/110
13,-2,1,8,-1897/418
13,-2,1,9,9/11
13,-2,1,10,-801/110
13,-2,1,11,-306/55
13,-2,2,2,1
13,-2,2,4,-3
13,-2,3,0,-11/40
13,-2,3,1,-11/40
13,-2,3,2,33/20
13,-2,4,0,-11/108
13,-2,4,1,-11/108
13,-2,4,2,13/54
13,-2,4,4,10/9
13,-2,5,0,-1/40
13,-2,5,2,23/20
13,-2,5,5,-21/22
13,-2,5,6,3/110
13,-2,6,0,-11/40
13,-2,6,2,33/20
13,-2,6,5,1/2
13,-2,6,6,3/10
13,-2,7,0,-121/360
13,-2,7,2,121/180
13,-2,7,4,10/9
13,-2,7,5,-31/18
13,-2,7,6,-1/10
13,-2,8,0,-3/5
13,-2,8,7,-21/11
13,-2,9,1,-11/62
13,-2,9,6,18/341
13,-2,9,8,-840/341
13,-2,10,0,-11/108
13,-2,10,1,-11/108
13,-2,10,2,-227/540
13,-2,10,6,9/110
13,-2,10,8,-20/11
13,-2,11,0,341/150
13,-2,11,1,277453/212040
13,-2,11,2,33/10
13,-2,11,3,2/135
13,-2,11,5,4898/855
13,-2,11,6,164/155
13,-2,11,7,31/10
13,-2,11,8,-3115/589
13,-2,11,9,66/31
13,-2,11,10,-141/5
13,-2,11,11,-36/5
13,-2,12,7,1
13,-2,12,9,-120/31
13,-2,13,0,-121/720
13,-2,13,1,-2057/8208
13,-2,13,2,11/20
13,-2,13,3,-1/405
13,-2,13,5,-899/2052
13,-2,13,6,1/10
13,-2,13,8,67/38
13,-2,13,9,1
13,-2,13,10,-29/10
13,-2,13,11,6/5
13,-2,14,0,-847/5400
13,-2,14,1,-2057/8208
13,-2,14,2,-11/45
13,-2,14,3,-1/405
13,-2,14,4,-11/27
13,-2,14,5,-217/570
13,-2,14,8,29/38
13,-2,14,10,9/10
