D,z,target_index,basis_index,coeff
11,-4,0,0,71/32
11,-4,0,1,549/200
11,-4,0,2,-13/4
11,-4,0,3,1/21
11,-4,0,5,19/6
11,-4,0,6,-131/150
11,-4,0,7,8/9
11,-4,0,8,-1688/75
11,-4,0,9,-508/75
11,-4,0,10,-8
11,-4,0,11,-112/3
11,-4,1,0,117/224
11,-4,1,1,177/224
11,-4,1,2,107/112
11,-4,1,3,25/1764
11,-4,1,4,88/63
11,-4,1,5,125/108
11,-4,1,6,23/216
11,-4,1,8,-142/27
11,-4,1,9,7/9
11,-4,1,10,-70/9
11,-4,1,11,-100/9
11,-4,2,2,1
11,-4,2,4,-4
11,-4,3,0,-9/32
11,-4,3,1,-9/32
11,-4,3,2,9/4
11,-4,4,0,-9/112
11,-4,4,1,-9/112
11,-4,4,2,5/14
11,-4,4,4,8/7
11,-4,5,0,-1/32
11,-4,5,2,5/4
11,-4,5,5,-17/18
11,-4,5,6,1/18
11,-4,6,0,-9/32
11,-4,6,2,9/4
11,-4,6,5,1/2
11,-4,6,6,1/2
11,-4,7,0,-81/448
11,-4,7,2,81/112
11,-4,7,4,8/7
11,-4,7,5,-25/28
11,-4,7,6,1/56
11,-4,8,0,-5/8
11,-4,8,7,-17/9
11,-4,9,1,-9/50
11,-4,9,6,-4/225
11,-4,9,8,-544/225
11,-4,10,0,-9/112
11,-4,10,1,-9/112
11,-4,10,2,-39/112
11,-4,10,6,7/72
11,-4,10,8,-16/9
11,-4,11,0,1845/896
11,-4,11,1,2943/2800
11,-4,11,2,27/4
11,-4,11,3,1/49
11,-4,11,5,685/168
11,-4,11,6,1919/1050
11,-4,11,7,25/8
11,-4,11,8,-364/75
11,-4,11,9,172/25
11,-4,11,10,-52
11,-4,11,11,-16
11,-4,12,7,1
11,-4,12,9,-128/25
11,-4,13,0,-81/448
11,-4,13,1,-351/1120
11,-4,13,2,9/16
11,-4,13,3,-1/196
11,-4,13,5,-5/21
11,-4,13,6,137/840
11,-4,13,8,38/15
11,-4,13,9,1
11,-4,13,10,-2
11,-4,13,11,4
11,-4,14,0,-1215/14336
11,-4,14,1,-351/2240
11,-4,14,2,-45/224
11,-4,14,3,-1/392
11,-4,14,4,-9/28
11,-4,14,5,-35/384
11,-4,14,6,7/480
11,-4,14,8,23/30
11,-4,14,10,7/8
11,-4,14,11,2
11,-4,15,0,27/448
11,-4,15,1,-99/448
11,-4,15,2,-23/112
11,-4,15,4,8/7
11,-4,16,2,1
11,-4,17,4,1
11,-4,18,0,-9/16
11,-4,19,1,-9/16
11,-4,20,0,-9/112
11,-4,20,1,-9/112
11,-4,20,2,-2/7
11,-4,21,2,-9/16
11,-4,22,2,-9/56
11,-4,22,4,-2/7
11,-4,23,0,-1/16
11,-4,23,2,-2
11,-4,23,5,-17/9
11,-4,23,6,-8/9
11,-4,24,0,-9/16
11,-4,25,5,1
11,-4,27,2,-9/16
11,-4,27,6,-1/8
11,-4,28,0,81/1792
11,-4,28,2,-9/28
11,-4,28,4,-2/7
11,-4,28,5,25/112
11,-4,28,6,-1/28
11,-4,29,1,-9/50
11,-4,29,5,8/9
11,-4,29,6,-104/225
11,-4,29,7,-8/9
11,-4,29,8,1856/225
11,-4,30,0,351/1792
11,-4,30,1,9/56
11,-4,30,2,4/7
11,-4,30,5,25/18
11,-4,30,6,-2/9
11,-4,30,7,-175/288
11,-4,30,8,53/9
11,-4,31,7,1
11,-4,33,0,81/256
11,-4,33,7,25/32
11,-4,34,1,-81/400
11,-4,34,5,1
11,-4,34,6,12/25
11,-4,34,8,32/25
11,-4,35,8,1
11,-4,37,0,81/1792
11,-4,37,1,27/1120
11,-4,37,2,9/56
11,-4,37,5,5/48
11,-4,37,6,-1/60
11,-4,37,8,23/30
11,-4,38,0,-1215/1792
11,-4,38,1,-351/560
11,-4,38,3,-1/98
11,-4,38,5,-10/21
11,-4,38,6,8/105
11,-4,38,7,-25/32
11,-4,38,8,61/15
11,-4,38,9,1
11,-4,38,10,11
11,-4,38,11,8
11,-4,39,9,1
11,-3,0,0,1907/896
11,-3,0,1,379611/156800
11,-3,0,2,-103/32
11,-3,0,3,53/1176
11,-3,0,5,13667/3528
11,-3,0,6,-8293/11760
11,-3,0,7,8/9
11,-3,0,8,-32137/1800
11,-3,0,9,-989/150
11,-3,0,10,-173/96
11,-3,0,11,-371/16
11,-3,1,0,2043/3136
11,-3,1,1,14121/15680
11,-3,1,2,717/784
11,-3,1,3,13/756
11,-3,1,4,88/63
11,-3,1,5,1345/756
11,-3,1,6,1129/7560
11,-3,1,8,-2633/540
11,-3,1,9,7/9
11,-3,1,10,-1057/144
11,-3,1,11,-637/72
11,-3,2,2,1
11,-3,2,4,-7/2
11,-3,3,0,-9/32
11,-3,3,1,-9/32
11,-3,3,2,63/32
11,-3,4,0,-9/98
11,-3,4,1,-9/98
11,-3,4,2,31/98
11,-3,4,4,8/7
11,-3,5,0,-1/32
11,-3,5,2,39/32
11,-3,5,5,-17/18
11,-3,5,6,7/144
11,-3,6,0,-9/32
11,-3,6,2,63/32
11,-3,6,5,1/2
11,-3,6,6,7/16
11,-3,7,0,-27/112
11,-3,7,2,81/112
11,-3,7,4,8/7
11,-3,7,5,-25/21
11,-3,7,6,-5/168
11,-3,8,0,-5/8
11,-3,8,7,-17/9
11,-3,9,1,-9/50
11,-3,9,6,1/45
11,-3,9,8,-544/225
11,-3,10,0,-9/98
11,-3,10,1,-9/98
11,-3,10,2,-305/784
11,-3,10,6,7/72
11,-3,10,8,-16/9
11,-3,11,0,2007/896
11,-3,11,1,99549/78400
11,-3,11,2,81/16
11,-3,11,3,5/196
11,-3,11,5,1875/392
11,-3,11,6,1487/980
11,-3,11,7,25/8
11,-3,11,8,-547/100
11,-3,11,9,113/25
11,-3,11,10,-645/16
11,-3,11,11,-105/8
11,-3,12,7,1
11,-3,12,9,-112/25
11,-3,13,0,-81/448
11,-3,13,1,-4617/15680
11,-3,13,2,9/16
11,-3,13,3,-1/196
11,-3,13,5,-65/196
11,-3,13,6,297/1960
11,-3,13,8,43/20
11,-3,13,9,1
11,-3,13,10,-39/16
11,-3,13,11,21/8
11,-3,14,0,-351/3136
11,-3,14,1,-1539/7840
11,-3,14,2,-45/196
11,-3,14,3,-1/294
11,-3,14,4,-18/49
11,-3,14,5,-5/28
11,-3,14,6,1/70
11,-3,14,8,23/30
11,-3,14,10,7/8
11,-3,14,11,7/4
11,-3,15,0,75/784
11,-3,15,1,-219/784
11,-3,15,2,-193/784
11,-3,15,4,8/7
11,-3,16,2,1
11,-3,17,4,1
11,-3,18,0,-9/16
11,-3,19,1,-9/16
11,-3,20,0,-9/98
11,-3,20,1,-9/98
11,-3,20,2,-16/49
11,-3,21,2,-9/16
11,-3,22,2,-9/49
11,-3,22,4,-16/49
11,-3,23,0,-1/16
11,-3,23,2,-3/2
11,-3,23,5,-17/9
11,-3,23,6,-7/9
11,-3,24,0,-9/16
11,-3,25,5,1
11,-3,27,2,-9/16
11,-3,27,6,-1/8
11,-3,28,0,27/392
11,-3,28,2,-18/49
11,-3,28,4,-16/49
11,-3,28,5,50/147
11,-3,28,6,-4/147
11,-3,29,1,-9/50
11,-3,29,5,8/9
11,-3,29,6,-14/45
11,-3,29,7,-8/9
11,-3,29,8,1456/225
11,-3,30,0,2169/12544
11,-3,30,1,27/196
11,-3,30,2,24/49
11,-3,30,5,25/18
11,-3,30,6,-1/9
11,-3,30,7,-175/288
11,-3,30,8,83/18
11,-3,31,7,1
11,-3,33,0,81/256
11,-3,33,7,25/32
11,-3,34,1,-81/400
11,-3,34,5,1
11,-3,34,6,2/5
11,-3,34,8,32/25
11,-3,35,8,1
11,-3,37,0,81/1568
