D,z,target_index,basis_index,coeff
7,-4,0,0,137/48
7,-4,0,1,340/91
7,-4,0,2,-7/2
7,-4,0,3,22/45
7,-4,0,5,761/210
7,-4,0,6,-2593/1365
7,-4,0,7,4/5
7,-4,0,8,-9848/455
7,-4,0,9,-412/65
7,-4,0,10,-24/5
7,-4,0,11,-352/5
7,-4,1,0,5/8
7,-4,1,1,355/336
7,-4,1,2,31/24
7,-4,1,3,13/90
7,-4,1,4,28/15
7,-4,1,5,143/140
7,-4,1,6,19/140
7,-4,1,8,-178/35
7,-4,1,9,3/5
7,-4,1,10,-6
7,-4,1,11,-104/5
7,-4,2,2,1
7,-4,2,4,-4
7,-4,3,0,-5/16
7,-4,3,1,-5/16
7,-4,3,2,5/2
7,-4,4,0,-5/48
7,-4,4,1,-5/48
7,-4,4,2,1/2
7,-4,4,4,4/3
7,-4,5,0,-1/16
7,-4,5,2,3/2
7,-4,5,5,-9/10
7,-4,5,6,1/5
7,-4,6,0,-5/16
7,-4,6,2,5/2
7,-4,6,5,1/2
7,-4,6,6,1
7,-4,7,0,-25/96
7,-4,7,2,25/24
7,-4,7,4,4/3
7,-4,7,5,-13/12
7,-4,7,6,1/12
7,-4,8,0,-3/4
7,-4,8,7,-9/5
7,-4,9,1,-5/26
7,-4,9,6,-4/65
7,-4,9,8,-144/65
7,-4,10,0,-5/48
7,-4,10,1,-5/48
7,-4,10,2,-11/24
7,-4,10,6,3/20
7,-4,10,8,-8/5
7,-4,11,0,265/96
7,-4,11,1,1125/728
7,-4,11,2,15/2
7,-4,11,3,2/9
7,-4,11,5,377/84
7,-4,11,6,967/273
7,-4,11,7,13/4
7,-4,11,8,-460/91
7,-4,11,9,92/13
7,-4,11,10,-48
7,-4,11,11,-32
7,-4,12,7,1
7,-4,12,9,-64/13
7,-4,13,0,-25/96
7,-4,13,1,-25/56
7,-4,13,2,5/8
7,-4,13,3,-1/18
7,-4,13,5,-13/42
7,-4,13,6,29/84
7,-4,13,8,18/7
7,-4,13,9,1
7,-4,13,10,-2
7,-4,13,11,8
7,-4,14,0,-175/1536
7,-4,14,1,-25/112
7,-4,14,2,-5/16
7,-4,14,3,-1/36
7,-4,14,4,-5/12
7,-4,14,5,-39/448
7,-4,14,6,3/112
7,-4,14,8,11/14
7,-4,14,10,3/4
7,-4,14,11,4
7,-4,15,0,5/96
7,-4,15,1,-25/96
7,-4,15,2,-1/8
7,-4,15,4,4/3
7,-4,16,2,1
7,-4,17,4,1
7,-4,18,0,-5/8
7,-4,19,1,-5/8
7,-4,20,0,-5/48
7,-4,20,1,-5/48
7,-4,20,2,-1/3
7,-4,21,2,-5/8
7,-4,22,2,-5/24
7,-4,22,4,-1/3
7,-4,23,0,-1/8
7,-4,23,2,-2
7,-4,23,5,-9/5
7,-4,23,6,-8/5
7,-4,24,0,-5/8
7,-4,25,5,1
7,-4,27,2,-5/8
7,-4,27,6,-1/4
7,-4,28,0,25/384
7,-4,28,2,-5/12
7,-4,28,4,-1/3
7,-4,28,5,13/48
7,-4,28,6,-1/12
7,-4,29,1,-5/26
7,-4,29,5,4/5
7,-4,29,6,-56/65
7,-4,29,7,-4/5
7,-4,29,8,96/13
7,-4,30,0,55/192
7,-4,30,1,5/24
7,-4,30,2,2/3
7,-4,30,5,13/10
7,-4,30,6,-2/5
7,-4,30,7,-39/80
7,-4,30,8,5
7,-4,31,7,1
7,-4,33,0,25/64
7,-4,33,7,13/16
7,-4,34,1,-25/104
7,-4,34,5,1
7,-4,34,6,12/13
7,-4,34,8,16/13
7,-4,35,8,1
7,-4,37,0,25/384
7,-4,37,1,25/672
7,-4,37,2,5/24
7,-4,37,5,13/112
7,-4,37,6,-1/28
7,-4,37,8,11/14
7,-4,38,0,-175/192
7,-4,38,1,-25/28
7,-4,38,3,-1/9
7,-4,38,5,-13/21
7,-4,38,6,4/21
7,-4,38,7,-13/16
7,-4,38,8,29/7
7,-4,38,9,1
7,-4,38,10,10
7,-4,38,11,16
7,-4,39,9,1
7,-3,0,0,523/192
7,-3,0,1,402685/122304
7,-3,0,2,-55/16
7,-3,0,3,83/180
7,-3,0,5,25793/5880
7,-3,0,6,-22871/15288
7,-3,0,7,4/5
7,-3,0,8,-12447/728
7,-3,0,9,-799/130
7,-3,0,10,9/80
7,-3,0,11,-1743/40
7,-3,1,0,515/672
7,-3,1,1,16885/14112
7,-3,1,2,209/168
7,-3,1,3,47/270
7,-3,1,4,28/15
7,-3,1,5,1573/980
7,-3,1,6,199/980
7,-3,1,8,-657/140
7,-3,1,9,3/5
7,-3,1,10,-45/8
7,-3,1,11,-329/20
7,-3,2,2,1
7,-3,2,4,-7/2
7,-3,3,0,-5/16
7,-3,3,1,-5/16
7,-3,3,2,35/16
7,-3,4,0,-5/42
7,-3,4,1,-5/42
7,-3,4,2,19/42
7,-3,4,4,4/3
7,-3,5,0,-1/16
7,-3,5,2,23/16
7,-3,5,5,-9/10
7,-3,5,6,7/40
7,-3,6,0,-5/16
7,-3,6,2,35/16
7,-3,6,5,1/2
7,-3,6,6,7/8
7,-3,7,0,-25/72
7,-3,7,2,25/24
7,-3,7,4,4/3
7,-3,7,5,-13/9
7,-3,7,6,-1/36
7,-3,8,0,-3/4
7,-3,8,7,-9/5
7,-3,9,1,-5/26
7,-3,9,6,1/65
7,-3,9,8,-144/65
7,-3,10,0,-5/42
7,-3,10,1,-5/42
7,-3,10,2,-85/168
7,-3,10,6,3/20
7,-3,10,8,-8/5
7,-3,11,0,145/48
7,-3,11,1,113675/61152
7,-3,11,2,45/8
7,-3,11,3,5/18
7,-3,11,5,1573/294
7,-3,11,6,5630/1911
7,-3,11,7,13/4
7,-3,11,8,-2061/364
7,-3,11,9,61/13
7,-3,11,10,-297/8
7,-3,11,11,-105/4
7,-3,12,7,1
7,-3,12,9,-56/13
7,-3,13,0,-25/96
7,-3,13,1,-1975/4704
7,-3,13,2,5/8
7,-3,13,3,-1/18
7,-3,13,5,-247/588
7,-3,13,6,185/588
7,-3,13,8,61/28
7,-3,13,9,1
7,-3,13,10,-19/8
7,-3,13,11,21/4
7,-3,14,0,-25/168
7,-3,14,1,-1975/7056
7,-3,14,2,-5/14
7,-3,14,3,-1/27
7,-3,14,4,-10/21
7,-3,14,5,-26/147
7,-3,14,6,4/147
7,-3,14,8,11/14
7,-3,14,10,3/4
7,-3,14,11,7/2
7,-3,15,0,5/56
7,-3,15,1,-55/168
7,-3,15,2,-29/168
7,-3,15,4,4/3
7,-3,16,2,1
7,-3,17,4,1
7,-3,18,0,-5/8
7,-3,19,1,-5/8
7,-3,20,0,-5/42
7,-3,20,1,-5/42
7,-3,20,2,-8/21
7,-3,21,2,-5/8
7,-3,22,2,-5/21
7,-3,22,4,-8/21
7,-3,23,0,-1/8
7,-3,23,2,-3/2
7,-3,23,5,-9/5
7,-3,23,6,-7/5
7,-3,24,0,-5/8
7,-3,25,5,1
7,-3,27,2,-5/8
7,-3,27,6,-1/4
7,-3,28,0,25/252
7,-3,28,2,-10/21
7,-3,28,4,-8/21
7,-3,28,5,26/63
7,-3,28,6,-4/63
7,-3,29,1,-5/26
7,-3,29,5,4/5
7,-3,29,6,-38/65
7,-3,29,7,-4/5
7,-3,29,8,376/65
7,-3,30,0,115/448
7,-3,30,1,5/28
7,-3,30,2,4/7
7,-3,30,5,13/10
7,-3,30,6,-1/5
7,-3,30,7,-39/80
7,-3,30,8,39/10
7,-3,31,7,1
7,-3,33,0,25/64
7,-3,33,7,13/16
7,-3,34,1,-25/104
7,-3,34,5,1
7,-3,34,6,10/13
7,-3,34,8,16/13
7,-3,35,8,1
7,-3,37,0,25/336
7,-3,37,1,25/588
7,-3,37,2,5/21
7,-3,37,5,13/98
7,-3,37,6,-1/49
7,-3,37,8,11/14
7,-3,38,0,-175/192
7,-3,38,1,-1975/2352
7,-3,38,3,-1/9
7,-3,38,5,-247/294
7,-3,38,6,19/147
7,-3,38,7,-13/16
7,-3,38,8,47/14
7,-3,38,9,1
7,-3,38,10,15/2
7,-3,38,11,21/2
7,-3,39,9,1
7,-2,0,0,83/32
7,-2,0,1,24515/8736
7,-2,0,2,-27/8
7,-2,0,3,13/30
7,-2,0,5,2237/420
7,-2,0,6,-223/260
7,-2,0,7,4/5
7,-2,0,8,-11779/910
7,-2,0,9,-387/65
7,-2,0,10,93/20
7,-2,0,11,-117/5
7,-2,1,0,305/288
7,-2,1,1,425/288
7,-2,1,2,85/72
7,-2,1,3,7/30
7,-2,1,4,28/15
7,-2,1,5,169/60
7,-2,1,6,9/20
7,-2,1,8,-43/10
7,-2,1,9,3/5
7,-2,1,10,-21/4
7,-2,1,11,-63/5
7,-2,2,2,1
7,-2,2,4,-3
7,-2,3,0,-5/16
7,-2,3,1,-5/16
7,-2,3,2,15/8
7,-2,4,0,-5/36
7,-2,4,1,-5/36
7,-2,4,2,7/18
7,-2,4,4,4/3
7,-2,5,0,-1/16
7,-2,5,2,11/8
7,-2,5,5,-9/10
7,-2,5,6,3/20
7,-2,6,0,-5/16
7,-2,6,2,15/8
7,-2,6,5,1/2
7,-2,6,6,3/4
7,-2,7,0,-25/48
7,-2,7,2,25/24
7,-2,7,4,4/3
7,-2,7,5,-13/6
7,-2,7,6,-1/4
7,-2,8,0,-3/4
7,-2,8,7,-9/5
7,-2,9,1,-5/26
7,-2,9,6,6/65
7,-2,9,8,-144/65
7,-2,10,0,-5/36
7,-2,10,1,-5/36
7,-2,10,2,-41/72
7,-2,10,6,3/20
7,-2,10,8,-8/5
7,-2,11,0,105/32
7,-2,11,1,9025/4368
7,-2,11,2,15/4
7,-2,11,3,1/3
7,-2,11,5,559/84
7,-2,11,6,34/13
7,-2,11,7,13/4
7,-2,11,8,-499/91
7,-2,11,9,30/13
7,-2,11,10,-51/2
7,-2,11,11,-18
7,-2,12,7,1
7,-2,12,9,-48/13
7,-2,13,0,-25/96
7,-2,13,1,-775/2016
7,-2,13,2,5/8
7,-2,13,3,-1/18
